time,seconds_elapsed,y,z,x,hypothesis
1706202038452091400,0.12409130859375,-7.15387487411499,4.4532151222229,5.114014625549316,
1706202038473775900,0.14577587890625,-6.904877662658691,4.462791919708252,5.027823448181152,
1706202038489620000,0.161619873046875,-6.8378400802612305,4.4532151222229,5.080495834350586,
1706202038502839000,0.174839111328125,-6.813898086547852,4.371812343597412,5.295974254608154,
1706202038514134500,0.186134521484375,-7.01979923248291,4.458003520965576,5.396530628204346,
1706202038524974800,0.196974853515625,-7.24485445022583,4.5825018882751465,5.30076265335083,
1706202038535200800,0.20720068359375,-7.340622425079346,4.5825018882751465,5.114014625549316,
1706202038545328400,0.217328369140625,-7.42681360244751,4.548983097076416,4.927267074584961,
1706202038555605800,0.227605712890625,-7.340622425079346,4.563348293304443,4.745307922363281,
1706202038565630000,0.2376298828125,-7.201758861541748,4.5154643058776855,4.888959884643555,
1706202038575582000,0.24758203125,-7.096413612365723,4.448426723480225,5.171475887298584,
1706202038585563400,0.2575634765625,-6.938396453857422,4.357447147369385,5.228936672210693,
1706202038595508200,0.26750830078125,-6.7708024978637695,4.242525577545166,5.2049946784973145,
1706202038605569000,0.277569091796875,-6.631938934326172,4.194641590118408,5.07570743560791,
1706202038615522000,0.28752197265625,-6.54574728012085,4.199429988861084,4.946420669555664,
1706202038625486600,0.297486572265625,-6.6127848625183105,4.2329487800598145,4.955997467041016,
1706202038635533300,0.307533203125,-6.665457725524902,4.189853191375732,5.118803024291992,
1706202038645520100,0.31752001953125,-6.665457725524902,4.041412353515625,4.970362663269043,
1706202038655476000,0.32747607421875,-6.6127848625183105,3.8977603912353516,4.649539470672607,
1706202038665485000,0.337485107421875,-6.502651691436768,3.6822822093963623,4.467580318450928,
1706202038675463000,0.347462890625,-6.406883716583252,3.6343982219696045,4.194641590118408,
1706202038685550000,0.357550048828125,-6.358999729156494,3.869029998779297,3.7158010005950928,
1706202038695501000,0.3675009765625,-6.004657745361328,3.869029998779297,3.5913026332855225,
1706202038705486000,0.377486083984375,-5.631162166595459,4.304774761199951,3.19865345954895,
1706202038715468000,0.387468017578125,-5.621585369110107,3.687070608139038,0.35434186458587646,
1706202038725459000,0.397458984375,-5.195417881011963,3.1507694721221924,1.4844050407409668,
1706202038735496000,0.407495849609375,-5.104437828063965,2.6144683361053467,1.7094600200653076,
1706202038745480400,0.41748046875,-4.836287498474121,2.0254945755004883,1.7621324062347412,
1706202038755476200,0.427476318359375,-4.6734819412231445,2.0159177780151367,2.183511972427368,
1706202038765466600,0.437466552734375,-4.587290287017822,2.1068975925445557,2.537853717803955,
1706202038775496000,0.447495849609375,-4.596867084503174,2.1930887699127197,3.2561142444610596,
1706202038785468400,0.457468505859375,-4.63517427444458,2.4420857429504395,3.2848446369171143,
1706202038795534000,0.4675341796875,-4.568136692047119,2.691082715988159,3.098097085952759,
1706202038805669000,0.477669189453125,-4.525041103363037,2.9257144927978516,2.6192567348480225,
1706202038815561000,0.48756103515625,-4.692635536193848,2.983175277709961,2.2026655673980713,
1706202038825565400,0.4975654296875,-5.1810526847839355,3.1747114658355713,2.2601263523101807,
1706202038835702300,0.507702392578125,-5.837063789367676,3.648763418197632,2.5474305152893066,
1706202038845588700,0.517588623046875,-6.54574728012085,4.01268196105957,2.9065608978271484,
1706202038855734300,0.527734375,-7.105990409851074,4.113238334655762,3.471592426300049,
1706202038865609700,0.537609619140625,-7.46033239364624,3.9408559799194336,4.055777549743652,
1706202038875539700,0.547539794921875,-7.762001991271973,3.801992416381836,4.405331134796143,
1706202038885506800,0.5575068359375,-8.015787124633789,3.907337188720703,4.654327869415283,
1706202038895502000,0.567502197265625,-8.106766700744629,3.8355112075805664,5.319916248321533,
1706202038905474600,0.577474609375,-8.111555099487305,3.3901896476745605,5.731719017028809,
1706202038915605200,0.587605224609375,-8.058882713317871,2.9544448852539062,6.0621185302734375,
1706202038925529000,0.597529052734375,-7.738059997558594,2.7772738933563232,6.095637321472168,
1706202038935511600,0.607511474609375,-7.4316020011901855,2.4851813316345215,5.8657941818237305,
1706202038945673200,0.617673095703125,-6.7708024978637695,2.4660277366638184,6.698976516723633,
1706202038955637200,0.62763720703125,-7.091625213623047,2.0638017654418945,7.4316020011901855,
1706202038965622000,0.6376220703125,-7.354987621307373,2.585737943649292,7.857769966125488,
1706202038975609000,0.647609130859375,-7.053318023681641,2.738966703414917,7.829039573669434,
1706202038985585400,0.65758544921875,-6.909666061401367,2.652775526046753,7.374141216278076,
1706202038995575800,0.667575927734375,-6.617573261260986,1.7094600200653076,6.708553314208984,
1706202039005535000,0.677534912109375,-6.335057735443115,0.7613561153411865,6.162675380706787,
1706202039015537000,0.687536865234375,-6.1770405769348145,0.3878606855869293,5.995080947875977,
1706202039025486800,0.69748681640625,-6.5696892738342285,1.139639973640442,6.445190906524658,
1706202039035868000,0.707867919921875,-7.627926826477051,2.609679937362671,7.465120792388916,
1706202039045665000,0.7176650390625,-7.642292022705078,3.552995204925537,7.6997528076171875,
1706202039055868000,0.727867919921875,-7.268796443939209,3.227383852005005,6.698976516723633,
1706202039065682400,0.737682373046875,-7.220912456512451,2.9496564865112305,5.544970989227295,
1706202039075566300,0.74756640625,-7.307103633880615,1.987187385559082,4.630385875701904,
1706202039085585700,0.757585693359375,-7.623138427734375,1.3072341680526733,3.8115692138671875,
1706202039095691300,0.767691162109375,-8.111555099487305,1.1779472827911377,2.8778305053710938,
1706202039105733600,0.777733642578125,-8.561665534973145,1.7812861204147339,2.4899697303771973,
