loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),label(N)
2023-02-18T22:07:41.678Z,1,2018947.083598625,-0.177886962890625,0.2234039306640625,-1.056838989257812,2018947.064609625,-0.2796601355075836,0.2382221519947052,0.1016789600253105,2018947.059817625,133.7444152832031,88.423583984375,-496.8623657226562,3
2023-02-18T22:07:41.679Z,2,2018947.103617625,-0.226959228515625,0.2159271240234375,-1.055145263671875,2018947.084598625,-0.06598354130983353,-0.07618105411529541,0.1104210466146469,2018947.079501625,133.8336029052734,88.70703125,-497.0018310546875,3
2023-02-18T22:07:41.695Z,3,2018947.123637625,-0.2686920166015625,0.1957855224609375,-1.044845581054688,2018947.104617625,-0.011027617380023,-0.1109374389052391,0.1449188441038132,2018947.099215625,133.4962615966797,88.67630004882812,-496.9645690917969,3
2023-02-18T22:07:41.715Z,4,2018947.143626625,-0.260894775390625,0.191314697265625,-1.037887573242188,2018947.124637625,0.02850594371557236,-0.07664364576339722,0.2492974400520325,2018947.118930625,133.3137664794922,88.60554504394531,-497.0139770507812,3
2023-02-18T22:07:41.736Z,5,2018947.163645625,-0.26385498046875,0.1957244873046875,-1.0382080078125,2018947.144626625,0.06340746581554413,-0.03087109699845314,0.3188506960868835,2018947.138644625,133.2908325195312,88.82833862304688,-497.3673706054688,3
2023-02-18T22:07:41.755Z,6,2018947.183665625,-0.2711334228515625,0.1979217529296875,-1.044570922851562,2018947.164645625,0.1256647109985352,-0.07583989948034286,0.3822493553161621,2018947.158328625,132.9918212890625,88.49636840820312,-497.0325317382812,3
2023-02-18T22:07:41.783Z,7,2018947.203654625,-0.2995147705078125,0.222412109375,-1.01605224609375,2018947.184665625,0.1300964802503586,-0.1025516763329506,0.4507714509963989,2018947.178042625,133.1041412353516,88.52503967285156,-496.9209594726562,3
2023-02-18T22:07:41.795Z,8,2018947.223673625,-0.3000946044921875,0.26458740234375,-0.9721527099609375,2018947.204654625,0.2053837776184082,-0.123432457447052,0.5316412448883057,2018947.197757625,133.1517486572266,88.48194885253906,-497.1806640625,3
2023-02-18T22:07:41.819Z,9,2018947.243662625,-0.324371337890625,0.2330322265625,-0.9426422119140625,2018947.224673625,0.3928388953208923,-0.2347975969314575,0.5488388538360596,2018947.217471625,132.8208465576172,88.60334777832031,-497.1866455078125,3
2023-02-18T22:07:41.835Z,10,2018947.263682625,-0.3530120849609375,0.2393798828125,-0.93182373046875,2018947.264682625,0.2934079170227051,-0.04588253796100616,0.4266559779644012,2018947.237185625,132.6556243896484,88.16830444335938,-496.8694458007812,3
2023-02-18T22:07:41.859Z,11,2018947.283701625,-0.3670654296875,0.2389984130859375,-0.9354705810546875,2018947.264682625,0.2934079170227051,-0.04588253796100616,0.4266559779644012,2018947.256900625,132.0291748046875,87.89669799804688,-496.8052368164062,3
2023-02-18T22:07:41.875Z,12,2018947.303690625,-0.334381103515625,0.236419677734375,-0.9292144775390625,2018947.284701625,0.1632935851812363,0.1280591636896133,0.3045356571674347,2018947.276614625,132.3355255126953,87.94743347167969,-496.7933349609375,3
2023-02-18T22:07:41.902Z,13,2018947.323710625,-0.3250274658203125,0.2158966064453125,-0.8975830078125,2018947.304690625,0.1113470271229744,0.1832497119903564,0.2114991992712021,2018947.296359625,132.4538879394531,87.85041809082031,-496.9989013671875,3
2023-02-18T22:07:41.915Z,14,2018947.343729625,-0.322357177734375,0.1968841552734375,-0.869659423828125,2018947.324710625,0.1239664182066917,0.1749475747346878,0.2128781825304031,2018947.316073625,132.4865570068359,88.0546875,-496.8876953125,3
2023-02-18T22:07:41.939Z,15,2018947.363718625,-0.3298797607421875,0.2103271484375,-0.8656768798828125,2018947.344729625,0.1140738427639008,0.1896120011806488,0.2368487566709518,2018947.335788625,132.7945404052734,88.07391357421875,-497.0455322265625,3
2023-02-18T22:07:41.955Z,16,2018947.383738625,-0.3674163818359375,0.22271728515625,-0.86834716796875,2018947.364718625,0.1549725383520126,0.09868689626455307,0.2335818558931351,2018947.355502625,132.7439880371094,87.75846862792969,-496.97607421875,3
2023-02-18T22:07:41.984Z,17,2018947.403757625,-0.3917999267578125,0.2441864013671875,-0.8726806640625,2018947.384738625,0.1436533033847809,0.06738090515136719,0.2040910869836807,2018947.375216625,132.8015594482422,87.56021118164062,-497.0316772460938,3
2023-02-18T22:07:41.995Z,18,2018947.423746625,-0.3798828125,0.273284912109375,-0.8708953857421875,2018947.404757625,0.1231416389346123,0.0547921434044838,0.1577938944101334,2018947.414615625,132.8740234375,87.38160705566406,-497.13232421875,3
